Symbol;Security name;ISIN;Issuer;Fiscal / Unique Code;Shares;Face value;CAEN Code;District;Country;Exchange segment;Main Market;Tier;Status;Trading Model Type;Price steps list
LIDO;LIDO SA Bucuresti;ROLIDOACNOR3;LIDO SA Bucuresti;1573677;12381425;0.1000;7911;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
LIH;LIFE IS HARD S.A.;ROLIHCACNOR9;LIFE IS HARD S.A.;16336490;3000000;1.0000;6201;CLUJ;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM1
LITO;LITORAL SA MAMAIA;ROLITOACNOR9;LITORAL SA MAMAIA;1869339;589764;0.3900;7911;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Suspended;Continuous trading;shareM1
MABE;MARTENS SA GALATI;ROMABEACNOR3;MARTENS SA GALATI;1627270;932534;2.5000;1105;GALATI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MACO;MACOFIL SA TG. JIU;ROMACOACNOR0;MACOFIL SA TG. JIU;2157789;3613499;2.5000;2332;GORJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MALI;COMALIM SA ARAD;ROMALIACNOR3;COMALIM SA ARAD;1681776;1260182;2.5000;4632;ARAD;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MAM;MAMBRICOLAJ S.A.;ROGH6Z6S8RD8;MAMBRICOLAJ S.A.;27933834;1693000;1.0000;-;BUCURESTI;RO;ATS;XRS1;AeRO Premium;;Continuous trading;shareM1
MAMA;MAGAZIN UNIVERSAL MARAMURES SA BAIA MARE;ROMAMAACNOR8;MAGAZIN UNIVERSAL MARAMURES SA BAIA MARE;6076555;14080550;0.1000;4719;MARAMURES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MEBY;LUCEAFARUL SA BACAU;ROMEBYACNOR3;LUCEAFARUL SA BACAU;952656;195308;2.5000;4719;BACAU;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MECA;METALURGICA SA BUCURESTI;ROMECAACNOR1;METALURGICA SA BUCURESTI;485;383208;2.5000;2599;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MECH;MECANICA 94 SA DR. T. SEVERIN;ROMECHACNOR6;MECANICA 94 SA DR. T. SEVERIN;6098057;157421;2.5000;3020;MEHEDINTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MECP;MECON SA BRASOV;ROMECPACNOR9;MECON SA BRASOV;1113237;480004;11.6000;2511;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MEGU;MECANOENERGETICA SA Dr. Tr. Severin;ROMEGUACNOR0;MECANOENERGETICA SA Dr. Tr. Severin;1605469;16087428;0.3000;2511;MEHEDINTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MELE;METAL LEMN SA CRAIOVA;ROMELEACNOR4;METAL LEMN SA CRAIOVA;2319619;908877;8.5000;3109;DOLJ;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MEOR;METALICA SA ORADEA;ROMEORACNOR0;METALICA SA ORADEA;51179;1361267;2.5000;2752;BIHOR;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MEOY;MECANICA CODLEA SA;ROMEOYACNOR6;MECANICA CODLEA SA;1122928;74200875;0.1000;2830;BRASOV;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MESA;METALUL MESA SA SALONTA;ROMESAACNOR7;METALUL MESA SA SALONTA;94595;5140777;0.1000;2550;BIHOR;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
METT;METTEXIN SA MANGALIA;ROMETTACNOR5;METTEXIN SA MANGALIA;1879766;178621;2.5000;4751;CONSTANTA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
METY;MECANICA ROTES SA Targoviste;ROMETYACNOR5;MECANICA ROTES SA Targoviste;911737;46684375;1.0000;2829;DAMBOVITA;RO;ATS;XRS1;AeRO Premium;Tradeable;Continuous trading;shareM1
MINO;MINDO SA DOROHOI;ROMINOACNOR0;MINDO SA DOROHOI;622003;33254742;0.1000;2364;BOTOSANI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MINX;MINEXFOR SA DEVA;ROMINXACNOR1;MINEXFOR SA DEVA;2114206;646155;2.5000;1107;HUNEDOARA;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MOBD;MOBAM SA BAIA MARE;ROMOBDACNOR6;MOBAM SA BAIA MARE;2201663;2478326;0.5000;3109;MARAMURES;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
MOBE;MOBEST SA BUCURESTI;ROMOBEACNOR4;MOBEST SA BUCURESTI;345;17423315;0.1000;5210;BUCURESTI;RO;ATS;XRS1;AeRO Standard;Tradeable;Continuous trading;shareM1
